абана|баня
кæлæн|колдовство
кæлæх|гололедица
кæм|в чем
кæмæ|к кому
кæнк|перхоть
кæнон|привычка
кæраз|плетенный навес
кæрдо|груша
кæрз|ясень
кæри|куча
кæрог|свербега
кæрон|конец
кæрт|двор
кæрц|шуба
кæсаг|рыба
кæсæг|кабардинцы
кæсæг|зритель
кæсæн|зеркало
кæуаг|плакса
кæуыл|на ком
кæф|крупная рыба
кæфой|совок из прутьев
кæхц|миска
кеф|гулянье
кой|слух
кокка|плакса
ком|рот
коса|со скудной растительностью на лице
куатæ|передник
куист|годовалое животное мелкого рогатого скота
кул|лужа
кусæг|$1. рабочий
кусæн|рабочий
кусгæ|рабочий
кухнæ|кухня
куы|частица ведь
куывд|молитва
куыд|плач
куыдз|собака
куыр|бугай
куырд|кузнец
куыси|ковш
куыст|работа
куыф|короб
къаба|платье
къада|небольшая водяная мельница
къадз|аист
къай|пара
къала|олово
къам|карта
къанц|ямка
къат|будни
къах|нога
къахт|яма
къæдз|кривой
къæй|каменная плита
къæм|волосок
къæм|послед
къæпи|мотыга
къæпп|щелчок
къæпы|кефир
кълас|класс
кълас|класс
къози|деревянная ложка
къозо|гриб
къона|очаг
къопи|копия
къопп|деревянная высокая кружка с ручкой
къорд|толпа
къори|шар
къоти|гной
къофи|кофе
къох|роща
къуди|шея
къул|стена
къупп|удар
къус|чашка
къуск|углубление в стене
къуск|крестец
къуту|амбар
къуту|колобок
къух|рука
къуым|угол
лагъз|ящик
лаз|вина
лалым|бурдюк
ламаз|намаз
лами|ил
ласаг|рабочий скот
ласæг|возчик
ласæн|спуск
ласт|без ножен
лæбæз|ягодица
лæвар|подарок
лæг|мужчина
лæгай|муженек
лæгæт|пещера
лæгъз|гладь
лæнк|ложбина
лæппу|мальчик
лæсæн|завал
лæскъ|мелкий рогатый скот
лæсыф|шалфей
лæх|помет
ленк|плавание
ливор|револьвер
локо|сом
лукъа|сопля
лывзæ|соус
лымæн|приятель
лыскъ|гнида
лыст|щепка
магъз|мозг
мад|мать
мадæл|мать
мал|омут
маннæ|манка
марæг|убийца
марг|яд
маргъ|птица
мард|мертвец
мархо|пост
маст|желчь
мауал|больше не
махау|подобно нам
махæй|от нас
махмæ|к нам
махыл|на нас
мæга|бекас
мæдз|вар
мæй|месяц
мæй|месяц
мæлæн|смерть
мæлæт|смерть
мæлхъ|павлин
мæм|ко мне
мæнау|подобно мне
мæнæу|пшеница
мæнг|ложь
мæнмæ|ко мне
мæныл|на мне
мæр|почва
мæра|дупло
мæскъ|овраг
мæсыг|башня
мæт|забота
мæтаг|предмет заботы
мæтых|саранча
мæцъ|луб
мела|осечка
мемæ|со мной
мес|чувяк из тонкого сафьяна с невысокими ушками
мигъ|туча
мидис|содержание
мизг|мочевой проток
мил|сажа
мил|цель
мин|тысяча
минас|угощение
миног|свойство
мисын|пахтанье
мит|снег
мих|кол
могор|бык
мой|муж
мойаг|жених
молло|мулла
монц|соблазн
мугæ|мушмула
мукъу|простор. рожа
мулк|имущество
мур|дробь
мыг|сперма
мыд|мед
мызд|плата
мыл|на мне
мылы|десна
мыр|звук
мысан|мишень
мысæг|выдумщик
мыст|мышь
мыцъа|сургуч
наз|ель
наиб|наиб
най|молотьба
найæн|купальня
нал|больше не
налат|нахал
намыс|честь
нана|мама
нарæг|теснина
нард|жир
нарт|нарты
нас|тыква
нау|пароход
нæзы|сосна
нæл|самец
нæлхæ|сливочное масло
нæм|к нам
нæма|еще не
нæмыг|зерно
нæрв|деревяное приспособление для дубления кожи
нæрд|гром
нæуу|целина
нæхи|нас самих
немæ|с нами
немыц|немцы
неси|дыня
низ|болезнь
ниуд|вой
ницæм|ни в чем
ном|имя
номыр|номер
нос|шрам
нуæзт|питье
нук|жолоб
нуры|чеснок
ны-|глагольная приставка
ныв|картина
ныл|на нас
нымæт|войлок
нымæц|число
нысан|метка
ныфс|надежда
ных|лоб
ныхас|речь
обау|курган
ололи|сова
ома|пояснит. то есть
омæ|вопросит. а
омд|рвота
оу-уа|междометье
оуу|междометье
оххай|выражает сожаление
пайда|польза
папи|богатство
пæлæз|накидка
пæлхъ|плеск
пец|печь
пирæг|чесальщица шерсти
пирæн|чесалка
пирын|чесать шерсть
писи|смола
писыр|писарь
плау|плов
плах|плаха
полкъ|полк
порти|мячик
пост|почта
пох|грядиль плуга
похци|борона
пуй|борона
пурти|мячик
пуси|жареная кукуруза
пут|пуд
пуцал|бахрома
пыл|слон
пыхс|кустарник
пъа|поцелуй
пъæра|гуща
пъеро|перо
пъол|пол
ра-|глагольная приставка
равг|настроение
рагъ|спина
рад|очередь
радæй|по очереди
раивд|перевод
райст|прием
ран|место
расыг|пьяный
рацыд|выход
рæбын|глубокое место
рæгъ|ряд
рæдыд|ошибка
рæз|рост
рæзт|рост
рæйд|лай
рæйын|лай
рæнхъ|ряд
рæс|подпилок
рæсæн|привал
рæсыд|опухоль
рæтæн|канат
рæуæд|теленок
рæучи|легкого поведения
рæхыс|цепь
ривæд|дневной отдых скота летом
рис|душевная боль
риу|грудь
рихи|ус
род|теленок
рон|пояс
ронг|апиток
рондз|сукровица
рох|повод
роцъо|подбородок
рувас|лиса
рувын|полоть
руд|колбаса
рухс|свет
рыг|пыль
рызт|сотрясение
рын|болезнь
рындз|выступ
сабат|суббота
саби|ребенок
саг|олень
сагой|вилы
сагъæ|цветень
сагъд|посадка
сайаг|обманщик
сал|детское место
салам|привет
салф|иней
саман|саман
сапон|мыло
сапп|неудобный для вспашки участок земли в горах
сара|сарай
саргъ|седло
сарт|долото
сасир|сито
саск|насекомое
саутæ|траур
саха|лавина
сахар|город
сахат|час
сæвн|ширина
сæг|сажа
сæгъ|козел
сæдæ|сто
сæйæн|место
сæкæр|сахар
сæкка|накрошенный хлеб в молоке
сæлæт|отвращение к пище
сæмæн|ось
сæмбу|роевня
сæн|вино
сæнар|кизяк
сæнк|борщевик
сæпп|рысь
сæр|голова
сæр|голова
сæрак|сафьян
сæрд|лето
сæт|слюна
сæтой|прост. сопляк
сæтти|неряшливый человек
сæфæн|место гибели
сæфт|пропажа
сæццæ|столбняк
селф|шелест
сенга|стойка
сиахс|зять
сиахъ|великан
сивыр|небольшое корыто с дырочками посередине
сигæц|оселок
сидæн|обращение
сидт|воззвание
симд|симд
син|бедро
синаг|веревка
сир|кушанье
сираг|иноходец
сирд|иноходь
сирын|идти иноходью
сис|перо
сис|стена
сих|шейх
сихор|обед
скалд|извержение
ской|обмолвка
скъæт|хлев
слест|следствие
слыг|разрез
смаг|запах
сой|жир
сойаг|жир
сом|рубль
сомих|армяне
сомы|клятва
сосæ|шоссе
соцъи|пихта
срæйд|лай
ссад|мука
ссон|точильный камень
ссыр|клык
стад|вставание
стай|рысь
старц|булава
стæг|кость
стæр|военный поход
стонг|голод
стуан|мешалка
стыг|клочок
стъол|стол
суар|минеральный источник
суари|пятак
суг|дрова
суй|кишка
сул|роевня
сунæт|обрезание
сур|обморок
сурæт|изображение
сусæн|жаркий летний период
сутыр|обморок
сфыст|перепись
схон|кремень
схъæл|с запрокинутой головой
схъис|сучок
счъил|загиб
сывæр|матка
сыг|усик
сыгъд|пожар
сыкъа|рог
сыл-|в сочетании с другими словами означает принадлежность к женскому полу самка
сылы|сыворотка из-под молока
сым|звук
сымах|2 л.мн.ч.им.пад. вы
сымæр|прель
сынæг|выступ
сынæр|жвачка
сындз|колючка
сынк|стежок
сынкъ|нарыв
сынт|ворон
сынт|носилки
сынтæ|тенета
сыпп|звук
сырд|зверь
сыст|1. вошь
сыф|лист
сыф|верхнее женское платье
сыфц|буксир
сых|квартал
сыхаг|сосед
сыхсы|костянка
таба|сковорода
табæт|гроб
табу|молитва
таваг|влияние
тавиц|ласка
таг|зона
така|шлем
тала|побег
талас|ласка
талæу|сибирская язва
тапка|навес
тар|пазуха
тас|таз
тас|страх
тау|отава
тауæн|сеялка
тауыс|слух
тахт|полет
тæбын|шерсть
тæгæл|осколок
тæгæр|горный клен
тæгъз|костный мозг
тæгъз|селитра
тæлæт|дорев. конфискация
тæлм|полоса
тæлы|обруч
тæмæн|блеск
тæн|нижняя часть живота
тæн|струна
тæпп|щепотка
тæраз|весы
тæрæг|погонщик
тæрæн|случка
тæркк|каприз
тæрс|бук
тæрф|котловина
тæрх|станок
тæскъ|большая корзина
тæф|запах
тæфаг|издающий запах
тæх|сильное течение
тæхæг|летчик
тæхой|летун
тебæ|сковорода
тел|проволока
тенка|темя
теуа|верблюд
тигъ|выступ
тин|белка
тиу|деверь
тобæ|обет
тол|погреб
тона|хищение
топп|ружье
тох|борьба
тохси|альчик крупного рогатого скота
туаг|окись
туас|шило
туг|кровь
тула|катышек
тулæн|каток
тулдз|дуб
турæ|жирный суп с мясом
тути|попугай
тухæн|обертка
тухæн|мучение
тухи|мучение
тыл|темя
тын|паутина
тын|луч
тын|кусок ткани
тыргъ|крыльцо
тырты|барбарис
тырын|младенец
тыфыл|разгар
тых|сила
тыхми|насилие
тыччы|камешек
тъанг|кишка
тъæнг|треск
тъæпп|треск
тъæр|место в доме
тъепа|мелкая рыба
тъуз|туз
тъури|круглый камень
тъыл|часть ножа
уавæр|условие
уаг|нрав
уагæр|выражает удивление
уад|вихрь
уад|бег
уадул|скула
уазæг|гость
уанел|съезд
уаргъ|ноша
уард|выпадение осадков
уарзт|любовь
уари|сокол
уарт|щит
уасæг|петух
уасæн|свисток
уаст|свист
уасхæ|клятва
уасхо|клятва
уат|комната
уафæг|ткач
уафс|подошва
уацар|плен
уачъи|подбородок
уæвæг|существо
уæвд|уток
уæдæй|с тех пор
уæдмæ|до тех пор
уæз|тяжесть
уæзад|тяжесть
уæзæг|возвышение
уæй|продажа
уæйыг|великан
уæл|первая часть сложного слова над
уæлих|надо льдом
уæн|лопатка
уæнг|член
уæнг|член
уæныг|бычок
уæр|барашек
уæраг|колено
уæрко|ягненок
уæрм|яма для хранения овощей
уæрх|ширина
уæрцц|перепелка
уæфт|ткань
уæфти|продолговатая шпулька
уæх|свойство
уæхи|вас самих
уæхск|плечо
ударм|подставка
удхор|убийца
удхар|мучение
узæлд|ласка
узæн|качалка
уидаг|корень
уидон|уздечка
уидыг|ложка
уис|хворостина
уисæн|послушание
уисой|метелка
улæфт|дыхание
улупа|зарплата
уоли|начальник
урсаг|белок
усаг|невеста
усгур|жених
усдон|гарем
усонг|шалаш
уыг|филин
уызын|еж
уыл|на вас
уылæн|волна
уынæр|гул
уынг|улица
уынд|вид
уыр|булыжный камень
уырг|почка
уырд|ремиза
уырд|выдра
уырз|кончик пальца
уырс|жеребец
уыры|крыса
фад|нога
фадат|условие
фадæг|пильщик
фадыг|штанина
фадын|покрываться сыпью
фаз|ягодица
фаз|трещина
фалæ|по ту сторону
фале|по ту сторону
фанар|фонарь
фанел|фланель
фарин|клин
фарк|лопасть
фарн|мир
фарон|прошлый год
фарс|бок
фарст|вопрос
фаст|трещина
фаст|сыпь
фат|стрела
фатæг|пестик
фатер|квартира
фау|порицание
фахс|бок
фæ-|придает значение совершенного вида
фæд|след
фæдæг|сосок
фæдис|тревога
фæдон|последователь
фæз|равнина
фæлин|диафрагма
фæлм|пар
фæнд|совет
фæнык|зола
фæрæз|средство
фæрæт|топор
фæрв|ольха
фæрск|ребро
фæс-|первая часть сложных слов за
фæсал|стелька из сена в горском чувяке
фæсм|шерсть
фæсус|хрипота
фæтæг|вождь
фæтк|правило
фæуæн|завершение
фæуд|окончание
фæхс|полоса
фæхт|ступка
фæччи|пола
фегом|брешь
фенд|взгляд
фехст|выстрел
фидæг|плательщик
фидæн|будущий год
фидæн|время платы
фист|шерсть весенней стрижки
фисын|угол
фиу|сало
фос|скот
фурд|большая судоходная река
футæг|лебеда
футт|фырканье
фыд|мясо
фыд|жернов
фыд|отец
фыд|зло
фыдæх|немилость
фыдис|большая вилка для вынимания мяса из котла
фыдми|бесчинство
фыдох|несчастье
фыдус|злая женщина
фын|сон
фынг|стол
фындз|нос
фынк|пена
фыр|баран
фырт|сын
фыс|овца
фысым|хозяин
хабар|известие
хадзы|хаджи
хай|доля
хайад|отделение
хайыг|частица
хайыр|польза
хал|травинка
хал|жребий
халас|иней
халон|ворона
харæ|название шелковой материи
хардз|расход
хару|каша из муки с маслом
хас|холодный осенний дождь
хаст|пленник
хатæн|отделение
хатт|раз
хатыр|прощение
хау|нить
хауæн|место падения
хауæн|падеж
хафæн|скребница
хафт|удар
хахх|линия
хæбуз|оспа
хæдз|приспособление для кручения веревки
хæдон|рубашка
хæзна|драгоценность
хæлар|друг
хæлар|идущий впрок
хæлаф|штаны
хæлæф|стремительность
хæлд|разруха
хæлур|перепонка
хæлц|продовольствие
хæлын|перепонка
хæрæн|место
хæрæн|соляные источники
хæрв|чешуя
хæрд|подъем
хæрд|еда
хæрис|ива
хæрх|куча
хæс|долг
хæст|бой
хæтæл|стебель
хæтæн|скитание
хæф|гной
хæфс|лягушка
хæцæн|ручка
хенц|резание
херы|качели
хид|мост
хид|пот
хиз|пастбище
хизæн|пастбище
хизæн|место
хил|волос
хин|хитрость
хиртт|фырканье
хист|поминки
хиу|с широко расставленными ногами
хиуа|сойка
хих|сучок
хицау|хозяин
хлепа|рожь
хойæн|колотушка
хом|бязь
хомаг|сырье
хомыс|кушанье из сыра и муки
хор|хлеб
хос|сено
хос|лекарство
хох|гора
хохаг|горец
худ|шапка
худæг|смех
худт|смех
хур|солнце
хурх|гортань
хуы|свинья
хуыз|цвет
хуылф|внутренность
хуым|пашня
хуын|подарок
хуынд|приглашение
хуыпп|глоток
хуыр|щебень
хуырх|молочная сыворотка
хуыст|сон
хуыфт|кашель
хыгъд|счет
хыгъд|угощение
хыз|сетка
хызæг|сетчатка
хыл|ссора
хырх|пила
хыссæ|тесто
хъаз|гусь
хъазт|танец
хъама|кинжал
хъан|воспитанник
хъапп|косточка
хъару|способность
хъаст|жалоба
хъæд|бревно
хъæд|качество
хъæз|тростник
хъæл|столб
хъæмæ|дома
хъæмп|солома
хъæн|повреждение
хъæр|звук
хъæу|селение
хъил|дубинка
хъинц|скрип
хъис|щетина
хъист|скрип
хъиу|крестец
хъоды|бойкот
хъом|крупный рогатый скот
хъонц|недовольство
хъуаг|недостаток
хъуаз|лань
хъуг|корова
хъузг|скорлупа
хъул|позвонок
хъус|ухо
хъуым|омут
хъуын|волос
хъуыр|горло
хъыг|скорбь
хъызт|мороз
хъыпы|болезнь горла
цагъд|игра на музыкальном инструменте
цад|озеро
цай|чай
цалх|колесо
цам|стыд
цамта|сума
цар|потолок
цард|жизнь
царм|кожа
царт|шатер
цатыр|шатер
цау|случай
цаца|платье
цæвæн|удар
цæг|звено
цæгаг|хворостина
цæгат|противоположная лезвию сторона ножа
цæгат|север
цæгæр|порша
цæд|пара быков в упряжке
цæдис|союз
цæимæ|с чем
цæл|угощение
цæлхъ|щелчок
цæм|сало
цæм|в чем
цæнд|куча
цæрæн|жилище
цæст|глаз
цæу|козел
цæуæн|проход
цæуæт|плод
цæуыл|на чем
цæф|рана
цæхх|соль
цикъæ|мадаполам
цил|папоротник
цин|радость
цинад|радость
цирхъ|обоюдоострый топор
цицыр|цесарка
цолпы|большая разливательная ложка
цонг|рука
цот|плод
цуан|охота
цугун|чугун
цупал|бахрома
цурк|клин
цух|перерыв
цыбæл|соблазн
цывзы|перец
цыд|движение
цызæ|шитье золотом
цыллæ|шелк
цым|кизил
цымгæ|жидкая пища
цына|осадок
цырв|осадки пива
цырен|пламя
цырх|груз
цырын|пламя
цыт|честь
цыхт|сыр
цъай|колодец
цъала|долина
цъар|пласт
цъасс|дыра
цъата|отруби
цъæй|сукровица
цъæл|пивная гуща
цъæт|пружина
цъиах|галка
цъил|волчок
цъист|давка
цъити|ледник
цъиу|птица
цъоз|деревянная лопаточка
цъуй|рябина
цъупп|вершина
цъыз|мошка
цъына|большой стог
цъынд|с закрытыми глазами
цъыф|грязь
чапар|сатрап
чем|настроение
чемпа|хромой
чесæ|бук
четар|добродетель
чиныг|книга
читт|внимание
члауи|слива
чызг|девочка
чын|волчок
чындз|невестка
чыр|куча
чырæ|извоз
чырæг|клетка
чырс|иней
чырын|сундук
чыс|вылун
чыссæ|кошелек
чысыл|малый
чъапæ|курдюк
чъепп|отсечение
чъепс|кусок кожи
чъил|дуга
чъима|раздвоенная деревянная палочка с зазубринами
чъири|пирог с начинкой
чъиу|живица
чъыр|известь
